Time,No. Steps,Total Reward,Episode Length,
0.5021171569824219,751777,1900.300000000003,248
0.3833651542663574,754341,1900.300000000003,248
0.6127047538757324,756940,1900.300000000003,248
0.4806063175201416,759517,1907.200000000003,252
0.5319006443023682,762364,1905.200000000003,252
0.49254822731018066,765195,1905.200000000003,252
0.12148165702819824,767741,1895.800000000003,249
0.1861875057220459,770481,1895.800000000003,249
0.2291104793548584,773111,1895.800000000003,249
0.19433021545410156,775692,1895.800000000003,249
0.1453864574432373,778326,1895.800000000003,249
0.22618579864501953,780909,1895.800000000003,249
0.24116063117980957,783477,1895.800000000003,249
0.15851569175720215,786089,1895.800000000003,249
0.17025351524353027,788653,1895.800000000003,249
0.172440767288208,791282,1895.800000000003,249
0.16738224029541016,793898,1895.800000000003,249
0.1631758213043213,796522,1895.800000000003,249
0.14919614791870117,799117,1895.800000000003,249
0.18054485321044922,801717,1895.800000000003,249
0.14566802978515625,804273,1895.800000000003,249
0.16935253143310547,806847,1895.800000000003,249
0.14658737182617188,809395,1895.800000000003,249
0.15234756469726562,812001,1895.800000000003,249
0.15395689010620117,814589,1895.800000000003,249
0.1567974090576172,817124,1895.800000000003,249
0.13733649253845215,819755,1895.800000000003,249
0.14853549003601074,822347,1895.800000000003,249
0.15898823738098145,824876,1895.800000000003,249
0.1456148624420166,827483,1895.800000000003,249
0.19345784187316895,830074,1895.800000000003,249
0.19198155403137207,832731,1895.800000000003,249
0.1777501106262207,835262,1895.800000000003,249
0.16666173934936523,837815,1895.800000000003,249
0.15906763076782227,840454,1895.800000000003,249
0.2713766098022461,843069,1895.800000000003,249
0.11560249328613281,845620,1895.800000000003,249
0.16171884536743164,848158,1895.800000000003,249
0.17043042182922363,850714,1895.800000000003,249
0.1698000431060791,853256,1895.800000000003,249
0.17362284660339355,855809,1895.800000000003,249
0.21121788024902344,858343,1895.800000000003,249
0.16815185546875,860933,1895.800000000003,249
0.554114818572998,863519,1900.300000000003,248
0.39467525482177734,866141,1900.300000000003,248
0.5699577331542969,868686,1900.300000000003,248
